City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,badger,64.8,-147.5333,-15.57,84,20,2.06,US,1739330865
335,post,33.1909,-101.3782,1.55,76,35,4.19,US,1739330866
336,riyadh,24.6877,46.7219,15.92,54,100,6.38,SA,1739330708
337,pastores,14.5967,-90.7547,19.39,96,67,1.03,GT,1739330870
338,khandud,36.9513,72.318,-8.88,95,100,2.22,AF,1739330871
339,howard springs,-12.497,131.047,32.21,83,98,2.97,AU,1739330872
340,al khafji,28.4391,48.4913,17.24,80,100,3.65,SA,1739330873
341,khanty-mansiysk,61.0042,69.0019,-4.94,80,75,7.0,RU,1739330874
342,borger,52.9233,6.7931,1.13,89,100,3.47,NL,1739330875
343,banda aceh,5.5577,95.3222,28.55,71,18,4.84,ID,1739330876
344,zyryanskoye,56.8306,86.6258,-8.7,86,100,7.16,RU,1739330877
345,la grande,45.3246,-118.0877,-14.31,98,4,2.01,US,1739330878
346,rio preto da eva,-2.6994,-59.6997,22.73,100,100,0.62,BR,1739330879
347,kapuskasing,49.4169,-82.4331,-18.0,65,100,2.06,CA,1739330881
348,northam,51.0333,-4.2167,3.78,82,55,1.34,GB,1739330882
349,alotau,-10.3069,150.4462,32.73,56,76,5.05,PG,1739330883
350,kegen,43.0197,79.2203,-17.37,81,2,2.08,KZ,1739330884
351,springfield,37.2153,-93.2982,-0.44,93,100,3.6,US,1739330781
352,zagora,30.3484,-5.8365,11.52,31,100,1.21,MA,1739330886
353,timmins,48.4669,-81.3331,-21.1,77,100,1.54,CA,1739330822
354,sarkand,45.41,79.9186,-6.69,70,2,2.23,KZ,1739330888
355,gebeit,21.0667,36.3167,12.37,83,1,2.5,SD,1739330889
356,tabuk,17.4189,121.4443,22.4,98,100,2.01,PH,1739330891
357,orange beach,30.2944,-87.5736,21.91,97,100,4.12,US,1739330892
358,luanda,-8.8368,13.2343,26.18,84,100,3.22,AO,1739330816
